Verb,Model,ModelSize,Indices,Examples,Size,Coverage,VerbMeaning
воскресать,после_Gen,0.035,"78  ","заседание,совещание  ",2,0.014084507042253521,
воскресать,после_Gen,0.035,"83  ","преступление,убийство  ",2,0.03225806451612903,
воскресать,NO_Nom,0.398,"9  ","корабль,судно  ",2,0.017699115044247787,2.2
воскресать,по_Dat,0.009,"214  ","причина,повод  ",2,0.07142857142857142,
воскресать,с_Ins,0.011,"338  ","задача,цель  ",2,0.125,
воскресать,в_Acc,0.03,"3  ","страна,регион  ",2,0.005319148936170213,
воскресать,в_Loc  NO_Nom,0.073,"346  26  ","душа,сердце  боль,усталость  ",2,0.13306451612903225,
воскресать,NO_Ins  NO_Nom,0.013,"169  -  ","молитва,проповедь  -  ",2,0.029411764705882353,
воскресать,NO_Nom,0.398,"93  ","полиция,полицейский  ",2,0.014705882352941176,
воскресать,NO_Gen,0.002,"-  ","-  ",2,0.0,
воскресать,в_Loc  NO_Nom,0.073,"61  -  ","матч,игра  -  ",2,0.01282051282051282,
воскресать,NO_Nom  NO_Nom  без_Gen,0.001,"39  93  6  ","фильм,картина  полиция,полицейский  удовольствие,радость  ",2,0.010227057967337316,
воскресать,NO_Nom  на_Loc,0.006,"13  93  ","генерал,полковник  полиция,полицейский  ",2,0.009768400113668656,
воскресать,NO_Nom,0.398,"382  ","шут,клоун  ",2,0.14285714285714285,1  2.1
воскресать,NO_Nom  NO_Nom  без_Gen,0.001,"39  39  6  ","фильм,картина  фильм,картина  удовольствие,радость  ",2,0.00532509718302359,
воскресать,в_Loc  NO_Nom,0.073,"238  163  ","мысль,воспоминание  поцелуй,прикосновение  ",2,0.09401709401709402,
воскресать,NO_Nom  из_Gen,0.018,"-  7  ","-  луч,свет  ",2,0.003401360544217687,
воскресать,NO_Dat,0.002,"-  ","-  ",2,0.0,
воскресать,NO_Acc,0.013,"8  ","человек,женщина  ",2,0.009009009009009009,
воскресать,NO_Nom  во время_Gen,0.001,"202  18  ","труп,останки  война,бой  ",2,0.03854166666666667,
воскресать,NO_Nom,0.398,"48  ","дурак,идиот  ",2,0.02127659574468085,1  2.1
воскресать,NO_Nom,0.398,"65  ","ветер,ветерок  ",2,0.02631578947368421,
воскресать,NO_Nom  с_Ins,0.004,"65  38  ","ветер,ветерок  нападение,атака  ",2,0.022417153996101363,
воскресать,в_Loc  с_Ins  NO_Nom,0.003,"8  38  6  ","человек,женщина  нападение,атака  удовольствие,радость  ",2,0.010755621340139507,
воскресать,в_Loc  NO_Nom,0.073,"174  -  ","сущность,смысл  -  ",2,0.029411764705882353,
воскресать,NO_Nom  спустя_Acc,0.001,"-  14  ","-  день,время  ",2,0.0036231884057971015,
воскресать,в_Loc  NO_Nom,0.073,"619  -  ","размер,величина  -  ",2,0.16666666666666666,
воскресать,NO_Nom,0.398,"73  ","журнал,газета  ",2,0.038461538461538464,2.2
воскресать,NO_Nom  по_Dat,0.003,"12  14  ","отец,брат  день,время  ",2,0.00608624259298922,
воскресать,под_Ins,0.005,"130  ","давление,напряжение  ",2,0.09523809523809523,
воскресать,под_Ins,0.005,"191  ","влияние,воздействие  ",2,0.0625,
воскресать,в_Loc  NO_Nom,0.073,"3  -  ","страна,регион  -  ",2,0.005319148936170213,
воскресать,в_Loc  NO_Nom,0.073,"-  202  ","-  труп,останки  ",2,0.06666666666666667,
воскресать,от_Gen,0.007,"351  ","смерть,гибель  ",2,0.125,
воскресать,NO_Nom,0.398,"436  ","перспектива,будущее  ",2,0.16666666666666666,3
воскресать,NO_Gen,0.002,"3  ","страна,регион  ",2,0.005319148936170213,
воскресать,для_Gen,0.013,"12  ","отец,брат  ",2,0.009852216748768473,
воскресать,в_Loc  NO_Nom,0.073,"4  -  ","нога,рука  -  ",2,0.0024509803921568627,
воскресать,с помощью_Gen  NO_Nom,0.001,"40  -  ","представитель,руководитель  -  ",2,0.002793296089385475,
воскресать,NO_Nom  перед_Ins,0.002,"14  4  ","день,время  нога,рука  ",2,0.009697357203751065,
воскресать,NO_Nom  из_Gen  NO_Ins,0.001,"-  -  6  ","-  -  удовольствие,радость  ",2,0.0015797788309636653,
воскресать,NO_Nom  через_Acc  NO_Acc  NO_Acc,0.001,"-  273  106  541  ","-  проблема,вопрос  улыбка,усмешка  нищета,бедность  ",2,0.0856578947368421,
воскресать,в_Acc  из_Gen,0.001,"14  -  ","день,время  -  ",2,0.0036231884057971015,
воскресать,после_Gen  NO_Ins,0.002,"276  149  ","устранение,ликвидация  стих,стихотворение  ",2,0.07323232323232323,
воскресать,NO_Nom  перед_Ins,0.002,"39  4  ","фильм,картина  нога,рука  ",2,0.013686935448336638,
воскресать,на_Acc,0.019,"93  ","полиция,полицейский  ",2,0.014705882352941176,
воскресать,для_Gen  в виде_Gen,0.001,"93  27  ","полиция,полицейский  исследование,анализ  ",2,0.014395194697597348,
воскресать,NO_Ins  NO_Nom,0.013,"14  -  ","день,время  -  ",2,0.007246376811594203,
воскресать,на_Acc,0.019,"7  ","луч,свет  ",2,0.006802721088435374,
воскресать,после_Gen  NO_Nom,0.007,"14  -  ","день,время  -  ",2,0.0036231884057971015,
воскресать,NO_Nom,0.398,"396  ","фигура,фигурка  ",2,0.14285714285714285,
воскресать,NO_Nom  из_Gen,0.018,"1  7  ","животное,собака  луч,свет  ",2,0.005888922733272413,
воскресать,NO_Nom,0.398,"149  ","стих,стихотворение  ",2,0.1111111111111111,
воскресать,после_Gen  NO_Nom,0.007,"14  37  ","день,время  сознание,разум  ",2,0.02576489533011272,
воскресать,NO_Nom  из_Gen,0.018,"-  653  ","-  развалина,руина  ",2,0.16666666666666666,2.2
воскресать,после_Gen  NO_Ins,0.002,"351  141  ","смерть,гибель  способ,метод  ",2,0.08881578947368421,
воскресать,NO_Nom,0.398,"294  ","инопланетянин,пришелец  ",2,0.2,1  2.1
воскресать,NO_Nom,0.398,"33  ","овощ,фрукт  ",2,0.03508771929824561,2.2
воскресать,NO_Nom  из_Gen,0.018,"64  7  ","компания,фирма  луч,свет  ",2,0.013401360544217688,
воскресать,NO_Ins  по_Dat,0.0,"-  37  ","-  сознание,разум  ",1,0.009259259259259259,
воскресать,NO_Ins  подоно_Dat,0.0,"14  346  ","день,время  душа,сердце  ",1,0.0661231884057971,
воскресать,NO_Nom  от_Gen,0.002,"-  184  ","-  рана,шрам  ",1,0.03125,
воскресать,NO_Dat,0.002,"37  ","сознание,разум  ",1,0.018518518518518517,
воскресать,NO_Nom  от_Gen,0.002,"37  388  ","сознание,разум  могила,кладбище  ",1,0.08068783068783068,
воскресать,NO_Dat,0.002,"39  ","фильм,картина  ",1,0.011235955056179775,
воскресать,спустя_Acc  в_Loc,0.0,"14  -  ","день,время  -  ",1,0.0036231884057971015,
воскресать,в качестве_Gen,0.002,"136  ","монстр,чудовище  ",1,0.05,
воскресать,NO_Nom  от_Gen,0.002,"142  37  ","семя,плод  сознание,разум  ",1,0.03557504873294347,
воскресать,в_Loc  на_Loc,0.002,"37  7  ","сознание,разум  луч,свет  ",1,0.012660619803476946,
воскресать,в_Loc  на_Loc,0.002,"346  7  ","душа,сердце  луч,свет  ",1,0.06590136054421769,
воскресать,в_Loc  на_Loc,0.002,"-  3  ","-  страна,регион  ",1,0.0026595744680851063,
воскресать,подоно_Dat,0.002,"37  ","сознание,разум  ",1,0.018518518518518517,
воскресать,подоно_Dat,0.002,"-  ","-  ",1,0.0,
воскресать,в_Acc  на_Acc,0.0,"14  7  ","день,время  луч,свет  ",1,0.0070245489500147884,
воскресать,прежде_Gen,0.0,"14  ","день,время  ",1,0.007246376811594203,
воскресать,по_Dat  в_Acc,0.0,"572  14  ","писание,завет  день,время  ",1,0.1286231884057971,
воскресать,после_Gen  NO_Ins,0.002,"18  198  ","война,бой  усилие,сила  ",1,0.025208333333333333,
воскресать,NO_Gen,0.002,"14  ","день,время  ",1,0.007246376811594203,
